Compound,TyreAge,LightGBM_s,XGBoost_s,CatBoost_s,LightGBM_Degradation_s,XGBoost_Degradation_s,CatBoost_Degradation_s,Ensemble_s,Ensemble_Degradation_s
SOFT,18,79.42663940259877,89.38519287109375,80.4142752572667,3.356564623222937,3.7018661499023438,1.123633421457754,83.08981679725383,2.691446538708121
SOFT,19,79.42663940259877,89.35021209716797,80.44025684643728,3.356564623222937,3.6668853759765625,1.149615010628338,83.08723927738687,2.68886901884116
SOFT,20,79.42663940259877,89.38467407226562,80.44355182216228,3.356564623222937,3.7013473510742188,1.152909986353336,83.09987295251173,2.7015026939660203
SOFT,21,79.42784903500247,89.3667984008789,80.55487096800942,3.3577742556266372,3.6834716796875,1.2642291322004837,83.1331949722418,2.734824713696085
SOFT,22,79.4389757635181,89.59010314941406,80.55628261466362,3.3689009841422717,3.9067764282226562,1.2656407788546744,83.21162322289847,2.813252964352756
SOFT,23,79.42715517368292,89.59010314941406,80.55170394912886,3.35708039430709,3.9067764282226562,1.2610621133199231,83.20627142701855,2.8079011684728385
SOFT,24,79.45722404988558,89.58084869384766,80.55281181943397,3.3871492705097523,3.89752197265625,1.2621699836250286,83.2131193451365,2.814749086590794
SOFT,25,79.45722404988558,89.59220886230469,80.54419796711487,3.3871492705097523,3.9088821411132812,1.2535561313059276,83.21389483990612,2.815524581360407
SOFT,26,79.79679250078273,89.59435272216797,80.55362156154057,3.7267177214068994,3.9110260009765625,1.2629797257316255,83.32568614232548,2.9273158837797695
SOFT,27,79.79679250078273,89.6126708984375,80.54184611080625,3.7267177214068994,3.9293441772460938,1.2512042749973062,83.32767534669415,2.929305088148439
SOFT,28,79.89051072485384,89.6126708984375,80.5229418757028,3.8204359454780104,3.9293441772460938,1.2323000398938575,83.35081800914614,2.9524477506004274
SOFT,29,79.89051072485384,89.6126708984375,80.52106092554004,3.8204359454780104,3.9293441772460938,1.2304190897311003,83.35016081911314,2.9517905605674315
SOFT,30,79.89051072485384,89.6126708984375,80.52106092554004,3.8204359454780104,3.9293441772460938,1.2304190897311003,83.35016081911314,2.9517905605674315
SOFT,31,79.89051072485384,89.6126708984375,80.52106092554004,3.8204359454780104,3.9293441772460938,1.2304190897311003,83.35016081911314,2.9517905605674315
SOFT,32,79.89051072485384,89.58863830566406,80.52106092554004,3.8204359454780104,3.9053115844726562,1.2304190897311003,83.34215336496021,2.9437831064145
SOFT,33,79.89051072485384,89.58863830566406,80.52106092554004,3.8204359454780104,3.9053115844726562,1.2304190897311003,83.34215336496021,2.9437831064145
SOFT,34,79.89051072485384,89.58863830566406,80.52106092554004,3.8204359454780104,3.9053115844726562,1.2304190897311003,83.34215336496021,2.9437831064145
SOFT,35,79.89051072485384,89.72409057617188,80.52221154947533,3.8204359454780104,4.040763854980469,1.2315697136663886,83.38768692126256,2.9893166627168455
SOFT,36,79.89051072485384,89.72409057617188,80.52221154947533,3.8204359454780104,4.040763854980469,1.2315697136663886,83.38768692126256,2.9893166627168455
SOFT,37,79.89051072485384,89.72409057617188,80.52221154947533,3.8204359454780104,4.040763854980469,1.2315697136663886,83.38768692126256,2.9893166627168455
SOFT,38,79.89051072485384,89.72409057617188,80.52221154947533,3.8204359454780104,4.040763854980469,1.2315697136663886,83.38768692126256,2.9893166627168455
MEDIUM,2,85.50047475947834,88.50936126708984,86.44738655183171,0.0,0.0,0.0,86.83385393827646,0.0
MEDIUM,3,90.07908025521968,92.53192138671875,86.61610978300163,4.578605495741343,4.022560119628906,0.1687232311699205,89.68640972694574,2.852555788669278
MEDIUM,4,89.35609966470979,92.36249542236328,86.69594741318072,3.8556249052314513,3.8531341552734375,0.2485608613490058,89.42836752910084,2.594513590824377
