compound,tyre_age,lgb_deg,xgb_deg,cat_deg,ens_deg
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,0.1494301010967547,-1.8986434936523438,0.23375559236575327,-0.5035077846602576
SOFT,10,2.820839509482923,-0.14214324951171875,3.86490664767976,2.198388334922953
SOFT,15,3.206854247971819,0.39855194091796875,4.103622531089258,2.584476148450392
SOFT,20,4.03049122398167,0.80841064453125,4.701798851635445,3.191471466297571
SOFT,30,4.875564766098876,1.934417724609375,4.996564942023014,3.9378763168365083
SOFT,40,4.875564766098876,1.7298507690429688,4.997867801330031,3.870171568053564
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,2.7594766811035925,2.4934616088867188,0.7969920186729951,1.9851651542585103
SOFT,10,3.5715276782884473,2.937408447265625,0.9300574911156332,2.4373344920409323
SOFT,15,3.539433802266288,2.1600799560546875,1.2230996782651005,2.2705349511351898
SOFT,20,3.680090593835672,2.468841552734375,1.8447438799238824,2.6352562573783302
SOFT,30,3.9610840701661374,2.4646377563476562,1.999660622898503,2.777174168873529
SOFT,40,3.9610840701661374,2.2147674560546875,1.9993327196686295,2.6938049571675293
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,-0.5132067720888074,-0.16713714599609375,0.7371595424265109,0.03896937881140161
SOFT,10,1.4620281289857218,0.476806640625,2.098443748911606,1.3561196605456445
SOFT,15,1.5654061682765814,0.7120819091796875,2.570671884016889,1.632318214521149
SOFT,20,1.5850150093705224,0.7843551635742188,2.72901929574293,1.7179486145750218
SOFT,30,2.2729441203460823,0.9463119506835938,2.86456812494184,2.037630677833846
SOFT,40,2.2729441203460823,0.8362350463867188,2.8658709842488577,2.001409205141073
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,1.6834036101083143,-0.28200531005859375,0.8898340990472491,0.7512788850441297
SOFT,10,2.457949236382291,-2.1290283203125,2.7576190845865938,1.0343100085443808
SOFT,15,1.9256974621369807,-2.2636032104492188,2.7876703419753,0.8310252751000888
SOFT,20,1.9178855183483137,-2.36932373046875,2.6414585451137924,0.7422351500312345
SOFT,30,2.882896213105937,-1.9296493530273438,2.793330563453935,1.248103660363853
SOFT,40,2.882896213105937,-2.170806884765625,2.7944811873892093,1.1681540549674168
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,4.7997031005112945,5.804473876953125,0.7611552564209347,3.7234454640374537
SOFT,10,8.91946263305337,8.693870544433594,2.5754524511406487,6.627747186193972
SOFT,15,9.524435380130697,9.616920471191406,2.769569165129809,7.195150476252138
SOFT,20,10.234545504157197,10.320541381835938,2.516536712054318,7.566583578593907
SOFT,30,10.683936160112324,11.773574829101562,2.33587983859492,8.130245486997651
SOFT,40,10.683936160112324,11.633041381835938,2.3357045210217535,8.08335969091057
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,-0.06382238347983105,-0.5320510864257812,0.8929761468665447,0.11446612999061756
SOFT,10,1.5612772768147636,1.9073257446289062,3.513609947274716,2.3587082151714185
SOFT,15,1.3938702352596124,1.8405303955078125,3.3845207359078273,2.2382120937370473
SOFT,20,2.0881034778756487,1.561248779296875,4.178721771270858,2.6430065254794215
SOFT,30,2.542548943516536,2.0522537231445312,4.386862765347459,3.0235763410992718
SOFT,40,2.542548943516536,1.8179779052734375,4.388013389282747,2.945919663844421
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,4.583132282947943,2.0985794067382812,2.285227847398147,2.95242977379705
SOFT,10,4.232566657727716,-0.224273681640625,2.3894378426158625,2.103610079948652
SOFT,15,2.272848093323205,-0.49802398681640625,1.3621680764201045,1.0314323975133135
