compound,model,linear_slope_s_per_lap,pace_loss_age1_to_10_s,pace_loss_age1_to_20_s,pace_loss_age1_to_40_s,starting_pace_age1_s,ending_pace_age40_s
SOFT,LightGBM,0.032354313144983826,3.2312412995054274,3.098593541096932,3.6405994817311864,76.18672176758994,79.82732124932113
SOFT,XGBoost,0.010499129018013306,3.2833328247070312,3.0499496459960938,3.2956619262695312,84.99330139160156,88.2889633178711
SOFT,CatBoost,0.05216664463208423,1.9742668580105942,2.0053532048002864,2.349992767461515,78.829504228057,81.17949699551852
SOFT,Ensemble,0.0319946345541599,2.8094202047471697,2.7004157484486058,3.0747408299229875,80.04436728540904,83.11910811533203
MEDIUM,LightGBM,0.044865034302438635,4.5007110396333445,4.781193752378485,5.058376986105216,85.42057426994839,90.4789512560536
MEDIUM,XGBoost,0.0282373761146649,3.9198074340820312,3.8816680908203125,4.2068939208984375,88.4102554321289,92.61714935302734
MEDIUM,CatBoost,0.07571829501178831,3.632339226657777,3.8033232917943423,4.097289187056688,83.84032829887495,87.93761748593164
MEDIUM,Ensemble,0.050104741361060155,4.003756262352184,4.139818818817176,4.43887317176123,85.86458421731467,90.3034573890759
HARD,LightGBM,0.023360373489340936,2.2636688191480374,2.56379307552578,3.0380011154540085,80.47631815109636,83.51431926655037
HARD,XGBoost,0.03030378402509479,2.6380844116210938,2.8989181518554688,3.1062545776367188,91.58550262451172,94.69175720214844
HARD,CatBoost,0.06601987766528072,2.5934809451592855,2.5805593606522024,2.988026739260903,80.10554922169557,83.09357596095647
HARD,Ensemble,0.04057877272122338,2.5036547990461173,2.6813118973699233,3.0432819083837046,84.04825939106863,87.09154129945233
