Compound,LightGBM_linear_s_per_lap,LightGBM_average_s_per_lap,LightGBM_total_loss_s,XGBoost_linear_s_per_lap,XGBoost_average_s_per_lap,XGBoost_total_loss_s,CatBoost_linear_s_per_lap,CatBoost_average_s_per_lap,CatBoost_total_loss_s,Ensemble_linear_s_per_lap,Ensemble_average_s_per_lap,Ensemble_total_loss_s
HARD,0.020518272925556448,0.07699290544462577,2.7717445960065277,0.020314467580694925,0.08961084153917101,3.2259902954101562,0.023708156136808982,0.024286797835437253,0.8743247220757411,0.021564888259353734,0.06278197072350188,2.2601509460460676
MEDIUM,0.04590219341617837,0.126072323432618,4.538603643574248,0.014211456602701632,0.09853214687771267,3.5471572875976562,0.027883261838269936,0.03568898803925672,1.284803569413242,0.02904743021615698,0.08531690551886939,3.071408598679298
SOFT,0.03599503537698788,0.10612322070772251,3.8204359454780104,0.032542959894259024,0.11224344041612414,4.040763854980469,0.028067969204112288,0.03421026982406635,1.2315697136663886,0.03207517526799878,0.08303657396435682,2.9893166627168455
