compound,tyre_age,lightgbm_s,xgboost_s,catboost_s,ensemble_s,lightgbm_deg_s,xgboost_deg_s,catboost_deg_s,ensemble_deg_s
SOFT,1,76.18672176758994,84.99330139160156,78.829504228057,80.04436728540904,0.0,0.0,0.0,0.0
SOFT,2,76.18672176758994,84.99330139160156,78.829504228057,80.04436728540904,0.0,0.0,0.0,0.0
SOFT,3,81.09144667279672,91.56600189208984,79.49852752358787,84.02492465853125,4.904724905206777,6.572700500488281,0.669023295530863,3.9805573731222097
SOFT,4,80.32266261367012,90.12728118896484,79.15397900071531,83.18114819456846,4.1359408460801745,5.133979797363281,0.3244747726583057,3.1367809091594268
SOFT,5,78.86561781056791,87.73130798339844,79.05346094040237,81.88522086706844,2.678896042977968,2.738006591796875,0.22395671234536962,1.8408535816594025
SOFT,6,79.27710233551645,88.65635681152344,79.2102041485297,82.37881589457311,3.090380567926502,3.663055419921875,0.3806999204726935,2.3344486091640704
SOFT,7,79.27213781602987,88.62218475341797,79.45797272791656,82.45242274312423,3.0854160484399245,3.6288833618164062,0.6284684998595509,2.408055457715193
SOFT,8,79.30088675186016,88.38623046875,79.95059581441923,82.5550490191707,3.114164984270218,3.3929290771484375,1.1210915863622262,2.5106817337616576
SOFT,9,79.3107893953285,88.48723602294922,80.51713974130014,82.78979270746967,3.1240676277385546,3.4939346313476562,1.687635513243137,2.7454254220606344
SOFT,10,79.41796306709537,88.2766342163086,80.8037710860676,82.85378749015621,3.2312412995054274,3.2833328247070312,1.9742668580105942,2.8094202047471697
SOFT,11,79.31794496439363,88.14964294433594,80.83743514167136,82.79148971277664,3.1312231968036883,3.156341552734375,2.0079309136143593,2.7471224273676
SOFT,12,79.31794496439363,88.051025390625,80.91434870841351,82.78550421784598,3.1312231968036883,3.0577239990234375,2.0848444803565087,2.7411369324369446
SOFT,13,79.28194520408745,88.01344299316406,80.89370937060748,82.75434395405978,3.0952234364975055,3.0201416015625,2.0642051425504775,2.7099766686507394
SOFT,14,79.38546866853207,88.03146362304688,80.95231484033616,82.81368459194705,3.198746900942126,3.0381622314453125,2.122810612279153,2.7693173065380137
SOFT,15,79.38546866853207,88.00774383544922,80.9657569060728,82.81047791984867,3.198746900942126,3.0144424438476562,2.1362526780157935,2.7661106344396273
SOFT,16,79.3669519397979,88.00684356689453,80.94490502983491,82.79701496160548,3.1802301722079562,3.0135421752929688,2.115400801777909,2.752647676196446
SOFT,17,79.27995635073621,87.98772430419922,80.83671801273965,82.72523105560839,3.0932345831462698,2.9944229125976562,2.007213784682648,2.680863770199352
SOFT,18,79.27995635073621,87.98413848876953,80.80142600751196,82.71170552779577,3.0932345831462698,2.9908370971679688,1.9719217794549593,2.667338242386734
SOFT,19,79.27995635073621,87.99754333496094,80.83615754562861,82.7283068495401,3.0932345831462698,3.004241943359375,2.0066533175716046,2.683939564131066
SOFT,20,79.28531530868688,88.04325103759766,80.83485743285729,82.74478303385764,3.098593541096932,3.0499496459960938,2.0053532048002864,2.7004157484486058
SOFT,21,79.28652494109058,88.04582214355469,81.1451920672113,82.85445228002342,3.099803173500632,3.052520751953125,2.315687839154293,2.8100849946143853
