compound,tyre_age,lightgbm_s,xgboost_s,catboost_s,ensemble_s,pace_loss_s
SOFT,27,82.86986341307832,88.8313980102539,83.42463463362388,85.05002864902849,3.986898175056808
SOFT,28,82.96358163714943,88.84337615966797,83.42602429139197,85.08425286393089,4.021122389959203
SOFT,29,82.96358163714943,88.84337615966797,83.42440960018665,85.08368870280236,4.02055822883068
SOFT,30,82.96358163714943,88.78860473632812,83.42440960018665,85.0654393334805,4.002308859508815
SOFT,31,82.96358163714943,88.78860473632812,83.42440960018665,85.0654393334805,4.002308859508815
SOFT,32,82.96358163714943,88.75641632080078,83.42440960018665,85.05471442901344,3.9915839550417616
SOFT,33,82.96358163714943,88.70441436767578,83.42440960018665,85.03738782345587,3.9742573494841906
SOFT,34,82.96358163714943,88.72319793701172,83.42440960018665,85.04364634793984,3.9805158739681588
SOFT,35,82.96358163714943,88.61679077148438,83.42556022412194,85.00859441087644,3.9454639369047584
SOFT,36,82.96358163714943,88.61679077148438,83.42556022412194,85.00859441087644,3.9454639369047584
SOFT,37,82.96358163714943,88.61679077148438,83.42556022412194,85.00859441087644,3.9454639369047584
SOFT,38,82.96358163714943,88.61679077148438,83.42556022412194,85.00859441087644,3.9454639369047584
SOFT,39,82.96358163714943,88.61679077148438,83.42556022412194,85.00859441087644,3.9454639369047584
SOFT,40,82.96358163714943,88.61679077148438,83.42556022412194,85.00859441087644,3.9454639369047584
MEDIUM,1,79.04401560118373,85.06499481201172,79.81822868417109,81.32065863226032,0.0
MEDIUM,2,78.33284379084674,84.69994354248047,80.57980650594018,81.23937901858051,-0.08127961367981129
MEDIUM,3,82.62237198561515,88.82381439208984,80.71703924273926,84.02293037512942,2.702271742869101
MEDIUM,4,82.42586757414402,88.81069946289062,80.52570001373716,83.88933444546734,2.5686758132070224
MEDIUM,5,81.11061040654431,87.3141098022461,80.40603985042637,82.93139156742947,1.6107329351691533
MEDIUM,6,81.89869127252004,88.95732116699219,81.02128160779989,83.94400589191379,2.623347259653471
MEDIUM,7,81.87766630175369,89.01033020019531,81.23447800759168,84.02948362671165,2.7088249944513336
MEDIUM,8,81.92909566539728,88.69913482666016,82.21530004549864,84.28481243826836,2.964153806008042
MEDIUM,9,81.9819720188731,88.68968200683594,82.8406141757224,84.51692675739564,3.196268125135319
MEDIUM,10,82.0268268558878,88.52830505371094,83.16906618308136,84.59215367507099,3.2714950428106704
MEDIUM,11,82.02674607564367,88.55477142333984,83.34309439405983,84.66175056777824,3.341091935517923
MEDIUM,12,82.04763592260059,88.50149536132812,83.42607611314084,84.6796234083412,3.3589647760808816
MEDIUM,13,81.9486117696437,88.49879455566406,83.41613528122464,84.64381842151835,3.3231597892580282
MEDIUM,14,81.91080269810787,88.50639343261719,83.46870149123315,84.65271534257158,3.3320567103112637
MEDIUM,15,81.96218236247117,88.50489044189453,83.50604275212811,84.68157004499658,3.3609114127362574
MEDIUM,16,81.96218236247117,88.4990463256836,83.48859430495837,84.67352647751109,3.3528678452507705
MEDIUM,17,81.81261045358384,88.47992706298828,83.41479336860382,84.59389408913644,3.2732354568761224
MEDIUM,18,81.81261045358384,88.4763412475586,83.37650423344762,84.57932138636107,3.2586627541007545
MEDIUM,19,81.81602335932438,88.48974609375,83.39179654313253,84.59021409672266,3.269555464462343
MEDIUM,20,81.82509946795737,88.54761505126953,83.4192622653941,84.62197275943434,3.301314127174024
MEDIUM,21,81.93050526200736,88.55314636230469,83.57656854412359,84.71223487515846,3.3915762428981395
MEDIUM,22,81.93050526200736,88.73192596435547,83.5797245924312,84.77290540777491,3.4522467755145954
MEDIUM,23,81.92844310511963,89.00749206542969,83.58514542934917,84.86596111200093,3.545302479740613
MEDIUM,24,81.99561924404281,88.81431579589844,83.55671986726867,84.81298753237175,3.4923289001114313
MEDIUM,25,82.40241174271073,88.81015014648438,83.66098017000905,84.97714978967255,3.6564911574122334
MEDIUM,26,82.71874148679261,88.8284912109375,83.68971360890224,85.09370824149029,3.7730496092299717
MEDIUM,27,82.71874148679261,88.8284912109375,83.68173500688681,85.09092057713553,3.770261944875216
MEDIUM,28,82.81245971086372,88.84046936035156,83.68312466465491,85.12514479203793,3.8044861597776105
MEDIUM,29,82.81245971086372,88.84046936035156,83.68150997344958,85.1245806309094,3.8039219986490878
MEDIUM,30,82.81245971086372,88.78569793701172,83.68150997344958,85.10633126158754,3.785672629327223
MEDIUM,31,82.81245971086372,88.78569793701172,83.68150997344958,85.10633126158754,3.785672629327223
MEDIUM,32,82.81245971086372,88.75350952148438,83.68150997344958,85.09560635712049,3.7749477248601693
MEDIUM,33,82.81245971086372,88.70150756835938,83.68150997344958,85.07827975156292,3.7576211193025983
MEDIUM,34,82.81245971086372,88.72029113769531,83.68150997344958,85.08453827604689,3.7638796437865665
MEDIUM,35,82.81245971086372,88.61388397216797,83.68266059738487,85.04948633898348,3.728827706723166
MEDIUM,36,82.81245971086372,88.61388397216797,83.68266059738487,85.04948633898348,3.728827706723166
MEDIUM,37,82.81245971086372,88.61388397216797,83.68266059738487,85.04948633898348,3.728827706723166
MEDIUM,38,82.81245971086372,88.61388397216797,83.68266059738487,85.04948633898348,3.728827706723166
MEDIUM,39,82.81245971086372,88.61388397216797,83.68266059738487,85.04948633898348,3.728827706723166
MEDIUM,40,82.81245971086372,88.61388397216797,83.68266059738487,85.04948633898348,3.728827706723166
HARD,1,79.28355021620472,85.31559753417969,80.48798259662006,81.71419647675089,0.0
HARD,2,78.57237840586772,84.95636749267578,81.16303305029845,81.6046244259047,-0.10957205084618238
HARD,3,82.82181530338201,89.0937728881836,80.91118448186731,84.24401763721448,2.529821160463598
HARD,4,82.5641284433441,88.89749145507812,80.84219722022098,84.0727207795031,2.3585243027522154
HARD,5,81.29742850835218,87.79869079589844,80.72073680429551,83.26210163768972,1.5479051609388392
HARD,6,82.08550937432791,89.31909942626953,81.23069283667786,84.19701309122965,2.4828166144787644
HARD,7,82.06448440356156,89.37212371826172,81.45160231172352,84.28519080139948,2.570994324648595
HARD,8,82.11591376720516,89.09486389160156,82.35073814138278,84.52328609145916,2.8090896147082702
HARD,9,82.16879012068097,89.07185363769531,82.99263049976582,84.75667549955749,3.042479022806603
HARD,10,82.21364495769568,88.93335723876953,83.33278273759676,84.84361399572471,3.129417518973824
HARD,11,82.21753061021123,88.99607849121094,83.53127851092349,84.93509849889627,3.2209020221453812
HARD,12,82.23842045716815,88.94281768798828,83.5958400415457,84.94654054636018,3.2323440696092973
HARD,13,82.13939630421126,88.94011688232422,83.58501053975169,84.91042506487464,3.196228588123759
HARD,14,82.10158723267543,88.94771575927734,83.63065909885663,84.91690501002093,3.202708533270041
HARD,15,82.15296689703872,88.94621276855469,83.63022997848346,84.93256302143125,3.2183665446803644
HARD,16,82.15296689703872,88.94036865234375,83.60697342178909,84.92249014356545,3.208293666814569
HARD,17,82.0033949881514,88.89869689941406,83.53273944031606,84.8351921557799,3.120995679029008
HARD,18,82.0033949881514,88.89511108398438,83.48495733713531,84.81730268040056,3.1031062036496735
HARD,19,82.00680789389193,88.90851593017578,83.50141345375836,84.8286020162726,3.1144055395217123
HARD,20,82.01588400252493,88.96636962890625,83.51256833540205,84.85465670817686,3.140460231425976
HARD,21,82.12128979657491,88.9719009399414,83.66774251751607,84.94417388516052,3.2299774084096384
HARD,22,82.12128979657491,89.15069580078125,83.67089856582369,85.00484950187486,3.290653025123973
HARD,23,82.11922763968718,89.42626190185547,83.66977677714866,85.09561926125531,3.381422784504423
HARD,24,82.18640377861037,89.23308563232422,83.64793473632903,85.04494591511468,3.330749438363796
HARD,25,82.59319627727828,89.22891998291016,83.82182763289936,85.23343728412868,3.5192408073777983
HARD,26,82.90952602136016,89.24726104736328,83.8507229309789,85.35005228834538,3.635855811594496
HARD,27,82.90952602136016,89.24726104736328,83.83894748024458,85.34593803321525,3.6317415564643625
HARD,28,83.00324424543128,89.25923919677734,83.84033713801267,85.38016224811764,3.665965771366757
HARD,29,83.00324424543128,89.25923919677734,83.83555276410259,85.37849062336645,3.6642941466155605
HARD,30,83.00324424543128,89.2044677734375,83.83555276410259,85.36024125404458,3.646044777293696
HARD,31,83.00324424543128,89.2044677734375,83.83555276410259,85.36024125404458,3.646044777293696
HARD,32,83.00324424543128,89.17227935791016,83.83555276410259,85.34951634957753,3.635319872826642
HARD,33,83.00324424543128,89.12027740478516,83.83555276410259,85.33218974401994,3.617993267269057
HARD,34,83.00324424543128,89.1390609741211,83.83555276410259,85.33844826850391,3.624251791753025
HARD,35,83.00324424543128,89.03265380859375,83.83670338803786,85.30339633144052,3.589199854689639
HARD,36,83.00324424543128,89.03265380859375,83.83670338803786,85.30339633144052,3.589199854689639
HARD,37,83.00324424543128,89.03265380859375,83.83670338803786,85.30339633144052,3.589199854689639
HARD,38,83.00324424543128,89.03265380859375,83.83670338803786,85.30339633144052,3.589199854689639
HARD,39,83.00324424543128,89.03265380859375,83.83670338803786,85.30339633144052,3.589199854689639
HARD,40,83.00324424543128,89.03265380859375,83.83670338803786,85.30339633144052,3.589199854689639
