compound,tyre_age,ens_deg,lgb_deg,xgb_deg,cat_deg
HARD,1,0.0,0.0,0.0,0.0
HARD,5,1.3401071107871516,1.4516342488349159,1.1889552307128906,1.3829300477335988
HARD,10,1.599283147851532,2.2981886610139752,1.5442306518554687,1.0168415936001667
HARD,15,1.4963331648927465,2.0953204729952266,1.6146063232421874,0.8393766081704979
HARD,20,1.7193867826727236,2.2859486168868197,1.8652114868164062,1.0656141069633995
HARD,30,2.110961114363917,2.8188473496179487,2.367877197265625,1.222857992342383
HARD,40,2.054598163967589,2.8188473496179487,2.1976217651367187,1.223901809347025
MEDIUM,1,0.0,0.0,0.0,0.0
MEDIUM,5,1.528588863246587,1.5548273770227474,1.4229881286621093,1.6054557988924834
MEDIUM,10,1.921969558813183,2.028568665674139,1.9659330749511719,1.7832015089503983
MEDIUM,15,1.7944806784822953,1.833690021819188,1.8941604614257812,1.663802109961538
MEDIUM,20,1.928431317528458,1.9866141694296102,1.9709182739257813,1.835056532806383
MEDIUM,30,2.3753731828135374,2.4333323472458672,2.5974549865722656,2.1109344811681643
MEDIUM,40,2.3250903346828853,2.4333323472458672,2.4459742736816406,2.111476073881752
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,1.2487341804765355,1.8152089392534665,0.9950263977050782,0.976046994751666
SOFT,10,2.084919424699594,2.585839786461971,1.698411407470703,1.9984294216353862
SOFT,15,1.963306786152803,2.3553252710570884,1.6392387390136718,1.9162072374777914
SOFT,20,2.1357968595746444,2.6008268427506067,1.7186869812011718,2.1110953974621727
SOFT,30,2.5374899052991506,3.0685099847044772,2.230732879638672,2.347601945657762
SOFT,40,2.4818288459292894,3.0685099847044772,2.0628115844726564,2.348428747678474
